,Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
25,EID_19350,1,20.0,2,1,Springfield,Accounting and Finance,Behavioral,1.0,1,66,2,2,9.0,type2,1.0,3,-0.1048,-0.4537,2.0,2,8,5
26,EID_5860,0,54.0,1,1,Washington,Accounting and Finance,Analytical,22.0,4,72,1,5,7.0,type3,4.0,4,-0.9612,-0.4537,1.0,3,7,3
31,EID_14887,0,32.0,5,1,Washington,Accounting and Finance,Directive,9.0,3,36,1,2,8.0,type2,1.0,3,0.7516,0.7075,2.0,4,8,3
33,EID_1903,0,64.0,4,1,Washington,Accounting and Finance,Behavioral,32.0,2,31,1,4,10.0,type3,1.0,3,0.7516,0.7075,2.0,1,6,2
35,EID_3214,1,51.0,5,1,Springfield,Accounting and Finance,Analytical,22.0,3,65,1,1,7.0,type3,3.0,3,-0.9612,-0.4537,3.0,3,8,3
39,EID_21747,1,28.0,4,0,Franklin,Accounting and Finance,Directive,6.0,1,40,1,4,10.0,type3,1.0,4,-1.8176,0.7075,2.0,3,7,3
42,EID_22104,0,22.0,1,1,Lebanon,Accounting and Finance,Conceptual,3.0,1,54,0,3,7.0,type2,4.0,1,0.7516,1.8688,2.0,3,6,3
43,EID_1059,1,65.0,3,1,Franklin,Accounting and Finance,Analytical,35.0,2,59,1,2,7.0,type2,1.0,1,-0.1048,-2.7762,,3,9,2
46,EID_16273,0,24.0,3,1,Lebanon,Accounting and Finance,Behavioral,5.0,1,40,1,3,8.0,type3,3.0,3,-0.9612,1.8688,2.0,3,8,3
47,EID_18794,1,22.0,4,0,Franklin,Accounting and Finance,Behavioral,3.0,2,46,1,5,7.0,type3,1.0,3,-0.1048,0.7075,3.0,3,8,3
51,EID_20635,1,28.0,4,0,Franklin,Accounting and Finance,Behavioral,5.0,1,26,1,5,9.0,type2,4.0,3,0.7516,-0.4537,2.0,1,8,3
53,EID_17204,0,23.0,1,0,Franklin,Accounting and Finance,Directive,4.0,1,54,0,1,7.0,type4,1.0,3,0.7516,0.7075,3.0,4,8,3
54,EID_24470,0,22.0,5,1,Franklin,Accounting and Finance,Directive,3.0,3,58,0,3,9.0,type2,1.0,1,-0.1048,-0.4537,1.0,3,7,3
56,EID_9968,1,41.0,3,1,Lebanon,Accounting and Finance,Behavioral,2.0,2,21,1,2,8.0,type3,3.0,3,-0.9612,-0.4537,2.0,3,7,3
57,EID_12609,0,38.0,1,0,Clinton,Accounting and Finance,Directive,10.0,2,35,2,2,7.0,type4,1.0,3,0.7516,0.7075,2.0,1,6,4
58,EID_1649,1,60.0,4,1,Clinton,Accounting and Finance,Behavioral,23.0,4,66,1,2,7.0,type2,4.0,3,0.7516,0.7075,3.0,5,8,3
60,EID_16278,1,24.0,3,1,Springfield,Accounting and Finance,Conceptual,5.0,3,22,1,2,8.0,type2,1.0,3,,0.7075,3.0,5,8,3
63,EID_11406,0,,3,0,Franklin,Accounting and Finance,Behavioral,4.0,2,35,2,3,9.0,type2,3.0,3,0.7516,0.7075,,3,8,3
66,EID_24386,0,35.0,3,1,Washington,Accounting and Finance,Directive,8.0,4,74,1,2,9.0,type2,3.0,3,-0.1048,0.7075,2.0,2,8,5
67,EID_20151,1,28.0,4,1,Lebanon,Accounting and Finance,Conceptual,4.0,3,42,1,4,9.0,type2,2.0,3,-0.9612,-0.4537,2.0,1,8,3
73,EID_24839,1,31.0,2,1,Lebanon,Accounting and Finance,Behavioral,2.0,1,46,1,3,8.0,type2,1.0,3,-1.8176,-0.4537,3.0,3,7,4
75,EID_25093,0,25.0,4,1,Washington,Accounting and Finance,Directive,6.0,3,37,1,3,8.0,type1,2.0,3,0.7516,-0.4537,2.0,4,8,3
76,EID_8060,1,62.0,3,1,Springfield,Accounting and Finance,Directive,36.0,2,33,1,1,8.0,type2,2.0,4,-0.1048,-1.615,2.0,3,5,2
77,EID_12989,0,32.0,4,1,Lebanon,Accounting and Finance,Conceptual,10.0,2,46,1,2,7.0,type2,2.0,3,-1.8176,-0.4537,2.0,2,8,3
83,EID_3058,1,51.0,4,1,Lebanon,Accounting and Finance,Conceptual,25.0,1,48,1,5,8.0,type2,4.0,3,0.7516,-0.4537,2.0,2,7,1
84,EID_7079,1,52.0,5,1,Lebanon,Accounting and Finance,Analytical,30.0,1,27,1,3,8.0,type2,3.0,3,,0.7075,3.0,3,8,2
85,EID_18682,1,20.0,4,1,Washington,Accounting and Finance,Directive,1.0,1,53,0,1,8.0,type2,1.0,3,0.7516,0.7075,2.0,4,6,3
86,EID_3994,1,53.0,1,0,Lebanon,Accounting and Finance,Analytical,18.0,3,56,1,5,7.0,type3,2.0,2,0.7516,0.7075,,4,8,3
87,EID_4781,0,57.0,3,0,Franklin,Accounting and Finance,Analytical,30.0,3,55,1,4,8.0,type2,3.0,3,0.7516,-0.4537,2.0,3,5,3
89,EID_2604,1,53.0,2,1,Lebanon,Accounting and Finance,Analytical,23.0,1,29,1,1,7.0,type3,3.0,2,1.6081,1.8688,,2,8,1
90,EID_17451,1,24.0,3,0,Franklin,Accounting and Finance,Analytical,5.0,3,69,2,5,8.0,type1,2.0,3,-0.9612,-0.4537,1.0,4,5,2
96,EID_1333,1,61.0,1,0,Clinton,Accounting and Finance,Analytical,23.0,4,49,0,2,7.0,type2,3.0,4,-0.1048,-0.4537,2.0,2,8,3
97,EID_15955,1,26.0,4,1,Washington,Accounting and Finance,Conceptual,3.0,3,55,1,4,7.0,type2,3.0,3,-0.9612,-0.4537,3.0,1,9,4
99,EID_4512,0,52.0,4,0,Lebanon,Accounting and Finance,Behavioral,16.0,2,27,2,4,10.0,type2,1.0,3,0.7516,-0.4537,2.0,3,9,3
100,EID_22451,1,60.0,4,1,Springfield,Accounting and Finance,Directive,36.0,4,69,1,1,9.0,type4,3.0,4,1.6081,-0.4537,2.0,2,7,3
104,EID_3363,0,59.0,4,1,Lebanon,Accounting and Finance,Behavioral,26.0,1,52,1,3,8.0,type2,4.0,2,-1.8176,0.7075,2.0,3,7,3
106,EID_19905,1,45.0,2,0,Washington,Accounting and Finance,Directive,10.0,1,35,2,5,8.0,type2,1.0,2,-1.8176,-2.7762,2.0,2,7,5
107,EID_24913,1,27.0,4,0,Lebanon,Accounting and Finance,Conceptual,4.0,4,25,1,3,8.0,type2,4.0,3,-0.1048,-0.4537,1.0,2,8,3
109,EID_5931,0,45.0,4,1,Washington,Accounting and Finance,Directive,22.0,1,68,1,3,7.0,type3,4.0,3,0.7516,0.7075,2.0,4,8,5
111,EID_17568,0,25.0,4,1,Franklin,Accounting and Finance,Analytical,6.0,2,23,1,3,9.0,type2,3.0,3,0.7516,-1.615,2.0,3,7,3
112,EID_22888,0,22.0,2,1,Springfield,Accounting and Finance,Conceptual,3.0,3,62,1,4,8.0,type3,1.0,3,-0.9612,-0.4537,3.0,3,8,3
113,EID_2137,0,54.0,3,1,Clinton,Accounting and Finance,Analytical,18.0,2,22,1,2,10.0,type3,3.0,5,-0.1048,-0.4537,2.0,3,8,3
117,EID_24096,1,31.0,3,1,Lebanon,Accounting and Finance,Directive,5.0,4,57,1,2,8.0,type2,3.0,3,0.7516,-0.4537,1.0,3,7,2
120,EID_19257,1,20.0,1,1,Lebanon,Accounting and Finance,Directive,1.0,1,41,1,3,7.0,type2,2.0,3,-0.9612,-0.4537,2.0,4,8,3
124,EID_5696,1,55.0,3,1,Springfield,Accounting and Finance,Analytical,29.0,4,37,1,3,7.0,type2,2.0,4,-1.8176,1.8688,2.0,3,5,3
134,EID_16129,0,26.0,3,1,Washington,Accounting and Finance,Conceptual,2.0,2,26,1,3,10.0,type4,1.0,4,-0.1048,-0.4537,2.0,3,8,3
135,EID_9556,1,60.0,4,1,Washington,Accounting and Finance,Conceptual,31.0,4,26,1,1,8.0,type2,3.0,2,,1.8688,2.0,4,7,3
138,EID_7716,0,45.0,3,0,Franklin,Accounting and Finance,Directive,11.0,2,61,1,3,7.0,type2,3.0,3,0.7516,-0.4537,1.0,3,6,3
140,EID_25945,1,27.0,3,0,Washington,Accounting and Finance,Analytical,5.0,1,36,1,2,10.0,type2,1.0,3,0.7516,0.7075,1.0,3,7,1
141,EID_19440,1,52.0,3,1,Lebanon,Accounting and Finance,Conceptual,27.0,4,24,1,2,8.0,type3,2.0,3,,0.7075,1.0,2,6,3
144,EID_25273,1,32.0,3,1,Lebanon,Accounting and Finance,Directive,5.0,3,24,2,3,10.0,type3,2.0,4,0.7516,-1.615,1.0,3,8,5
149,EID_25693,0,35.0,4,1,Clinton,Accounting and Finance,Behavioral,11.0,1,32,0,3,7.0,type4,2.0,2,0.7516,1.8688,2.0,3,9,5
153,EID_22728,0,28.0,3,1,Lebanon,Accounting and Finance,Conceptual,5.0,1,50,2,3,9.0,type0,5.0,3,0.7516,-0.4537,,2,7,3
155,EID_15045,1,28.0,3,1,Springfield,Accounting and Finance,Behavioral,6.0,4,72,0,4,7.0,type3,1.0,1,-1.8176,-1.615,2.0,3,8,3
159,EID_24264,1,22.0,3,0,Lebanon,Accounting and Finance,Directive,3.0,3,64,2,3,8.0,type3,1.0,3,-0.9612,-0.4537,,5,5,3
160,EID_19167,0,20.0,4,1,Lebanon,Accounting and Finance,Directive,1.0,1,54,1,1,8.0,type2,3.0,3,-0.1048,-0.4537,,4,8,3
163,EID_22570,0,,4,1,Washington,Accounting and Finance,Behavioral,8.0,4,21,1,2,8.0,type3,2.0,4,-0.1048,-0.4537,2.0,5,7,3
164,EID_3106,0,51.0,3,1,Franklin,Accounting and Finance,Behavioral,13.0,4,29,2,1,8.0,type2,1.0,4,0.7516,0.7075,2.0,3,5,2
165,EID_17259,1,21.0,4,1,Washington,Accounting and Finance,Behavioral,2.0,2,49,2,1,8.0,type3,2.0,5,-1.8176,-0.4537,2.0,1,8,3
166,EID_20617,1,52.0,3,1,Lebanon,Accounting and Finance,Analytical,20.0,4,37,0,2,8.0,type2,3.0,3,1.6081,0.7075,1.0,3,5,1
171,EID_13486,1,27.0,4,0,Clinton,Accounting and Finance,Directive,3.0,3,26,1,2,9.0,type2,3.0,4,-0.1048,1.8688,,2,7,5
172,EID_22415,1,19.0,4,1,Franklin,Accounting and Finance,Analytical,0.0,0,71,1,3,9.0,type3,2.0,3,0.7516,-0.4537,2.0,3,5,2
173,EID_10753,0,,4,1,Lebanon,Accounting and Finance,Directive,9.0,4,59,1,5,9.0,type3,3.0,3,-0.1048,-0.4537,,1,7,3
176,EID_9165,1,60.0,3,1,Franklin,Accounting and Finance,Analytical,21.0,1,60,1,1,8.0,type3,3.0,2,-0.9612,1.8688,2.0,4,7,3
179,EID_8770,0,59.0,5,1,Franklin,Accounting and Finance,Behavioral,33.0,3,67,0,2,10.0,type2,1.0,2,0.7516,-0.4537,2.0,4,8,3
180,EID_14941,1,24.0,4,1,Clinton,Accounting and Finance,Conceptual,5.0,3,45,1,5,7.0,type2,3.0,4,0.7516,1.8688,2.0,2,8,2
181,EID_9689,0,41.0,4,1,Lebanon,Accounting and Finance,Analytical,7.0,1,39,0,5,8.0,type2,1.0,4,-1.8176,0.7075,,3,8,5
183,EID_16537,1,28.0,4,0,Lebanon,Human Resource Management,Directive,,4,57,1,4,10.0,type2,3.0,3,0.7516,-0.4537,2.0,2,5,2
185,EID_8844,0,61.0,4,0,Lebanon,Human Resource Management,Behavioral,26.0,1,49,2,3,7.0,type2,5.0,3,-0.1048,-0.4537,2.0,4,8,4
186,EID_24868,0,22.0,2,0,Springfield,Human Resource Management,Behavioral,3.0,3,28,1,2,9.0,type0,3.0,3,0.7516,0.7075,2.0,4,6,3
189,EID_7024,0,43.0,3,1,Lebanon,Human Resource Management,Analytical,13.0,2,70,1,3,7.0,type3,1.0,2,-0.1048,-1.615,2.0,4,6,4
192,EID_12022,0,40.0,3,1,Clinton,Human Resource Management,Directive,18.0,3,64,0,1,8.0,type2,2.0,5,-1.8176,0.7075,2.0,3,6,3
193,EID_3977,1,49.0,5,0,Springfield,Human Resource Management,Behavioral,12.0,1,56,1,3,9.0,type2,1.0,4,0.7516,1.8688,2.0,4,5,2
194,EID_24509,1,25.0,4,1,Lebanon,Human Resource Management,Conceptual,6.0,2,66,1,1,7.0,type2,3.0,3,0.7516,-0.4537,,4,8,3
200,EID_24390,1,26.0,2,1,Washington,Human Resource Management,Analytical,2.0,1,22,1,5,8.0,type2,1.0,3,-1.8176,0.7075,2.0,3,8,4
201,EID_12115,1,40.0,4,1,Clinton,Human Resource Management,Analytical,14.0,4,23,1,5,9.0,type2,1.0,4,-0.9612,0.7075,2.0,3,8,4
211,EID_13672,1,30.0,3,0,Lebanon,Human Resource Management,Directive,6.0,4,73,1,2,10.0,type2,3.0,5,0.7516,-0.4537,2.0,2,5,3
213,EID_18852,1,21.0,3,0,Lebanon,Human Resource Management,Analytical,2.0,1,55,0,5,7.0,type3,1.0,3,0.7516,1.8688,2.0,2,9,3
217,EID_18445,0,21.0,4,0,Springfield,Human Resource Management,Directive,2.0,2,25,1,3,8.0,type2,1.0,3,-0.9612,-0.4537,2.0,4,5,2
219,EID_1994,0,59.0,4,1,Clinton,Human Resource Management,Behavioral,,3,47,0,2,9.0,type2,1.0,3,0.7516,0.7075,1.0,1,8,4
221,EID_15252,1,27.0,3,1,Clinton,Human Resource Management,Directive,4.0,1,73,1,3,8.0,type4,1.0,3,-1.8176,0.7075,,2,8,3
226,EID_23731,1,52.0,1,0,Franklin,Human Resource Management,Behavioral,30.0,3,44,1,2,7.0,type3,2.0,4,0.7516,-0.4537,,4,8,4
227,EID_25149,1,19.0,4,0,Springfield,Human Resource Management,Directive,0.0,0,70,1,1,8.0,type3,3.0,5,-0.1048,0.7075,3.0,4,6,1
228,EID_4773,1,52.0,4,1,Lebanon,Human Resource Management,Directive,13.0,2,64,1,3,8.0,type2,1.0,3,-0.1048,-1.615,,2,6,4
233,EID_4217,1,53.0,4,0,Springfield,Human Resource Management,Analytical,17.0,4,57,1,3,7.0,type2,2.0,2,-0.1048,-2.7762,1.0,1,5,3
234,EID_23825,1,,3,1,Lebanon,Human Resource Management,Directive,3.0,2,42,1,3,9.0,type2,4.0,3,1.6081,0.7075,2.0,5,8,3
235,EID_12567,0,38.0,3,1,Lebanon,Human Resource Management,Directive,15.0,2,68,1,4,9.0,type2,4.0,4,0.7516,0.7075,2.0,3,6,4
239,EID_23968,1,22.0,4,0,Washington,Human Resource Management,Behavioral,3.0,2,34,1,3,8.0,type3,1.0,4,-0.1048,0.7075,2.0,3,6,5
242,EID_8769,0,62.0,4,0,Franklin,Human Resource Management,Directive,34.0,1,27,0,3,7.0,type3,1.0,4,0.7516,0.7075,2.0,2,6,3
248,EID_20224,1,19.0,4,1,Clinton,Human Resource Management,Analytical,0.0,0,62,1,3,8.0,type4,1.0,1,1.6081,-1.615,2.0,4,5,3
250,EID_17928,1,24.0,3,1,Springfield,Human Resource Management,Conceptual,5.0,4,23,1,3,10.0,type3,4.0,2,0.7516,-0.4537,2.0,3,8,1
253,EID_7783,0,45.0,3,0,Lebanon,Human Resource Management,Conceptual,21.0,4,58,1,1,8.0,type2,1.0,2,-0.9612,0.7075,2.0,4,8,4
254,EID_15609,0,23.0,3,1,Franklin,Human Resource Management,Directive,4.0,1,51,0,3,7.0,type2,3.0,4,-1.8176,1.8688,2.0,3,8,4
256,EID_24093,1,60.0,2,0,Lebanon,Human Resource Management,Directive,36.0,1,22,0,3,8.0,type2,2.0,3,1.6081,-0.4537,1.0,3,8,3
259,EID_22219,1,19.0,1,1,Lebanon,Human Resource Management,Behavioral,0.0,0,60,1,4,8.0,type2,3.0,3,0.7516,-2.7762,2.0,3,8,3
264,EID_18473,1,21.0,3,0,Lebanon,Human Resource Management,Behavioral,2.0,1,50,1,1,8.0,type3,3.0,1,0.7516,-0.4537,2.0,2,5,4
266,EID_22022,1,37.0,3,1,Clinton,Human Resource Management,Behavioral,13.0,2,30,0,4,8.0,type3,2.0,3,-0.9612,-0.4537,2.0,4,8,4
269,EID_22918,1,,4,0,Springfield,Human Resource Management,Directive,3.0,3,50,1,1,10.0,type2,2.0,3,-0.9612,-0.4537,2.0,2,7,4
271,EID_21512,1,54.0,3,0,Clinton,Human Resource Management,Directive,30.0,1,68,1,2,9.0,type4,3.0,4,1.6081,-0.4537,1.0,5,8,3
276,EID_15915,1,30.0,3,1,Clinton,Human Resource Management,Directive,6.0,3,55,1,4,7.0,type0,2.0,3,-1.8176,-1.615,1.0,3,7,4
279,EID_5056,0,51.0,2,0,Lebanon,Human Resource Management,Directive,25.0,4,48,1,3,8.0,type3,2.0,1,-0.1048,0.7075,2.0,3,7,3
288,EID_11554,1,36.0,4,0,Lebanon,Human Resource Management,Conceptual,8.0,1,67,1,3,9.0,type2,3.0,3,1.6081,1.8688,2.0,3,6,3
293,EID_6965,0,52.0,4,0,Springfield,Human Resource Management,Behavioral,14.0,2,67,1,4,8.0,type2,2.0,3,0.7516,1.8688,1.0,2,5,4
297,EID_18934,1,,3,1,Washington,Human Resource Management,Conceptual,1.0,1,28,0,3,9.0,type2,1.0,3,0.7516,-1.615,2.0,2,8,1
300,EID_25390,0,54.0,3,0,Springfield,Human Resource Management,Analytical,25.0,4,29,0,5,8.0,type3,2.0,3,0.7516,-1.615,2.0,4,8,3
301,EID_18290,1,21.0,4,0,Washington,Human Resource Management,Analytical,2.0,2,60,1,1,8.0,type2,1.0,1,0.7516,1.8688,,2,8,3
304,EID_9610,0,46.0,4,1,Clinton,Human Resource Management,Analytical,10.0,2,36,0,3,7.0,type2,4.0,3,-0.1048,-0.4537,1.0,3,7,3
305,EID_13055,1,32.0,3,1,Springfield,Human Resource Management,Conceptual,3.0,3,36,0,3,8.0,type4,3.0,3,,0.7075,1.0,3,6,3
307,EID_25976,1,22.0,4,1,Springfield,Human Resource Management,Analytical,3.0,2,23,1,3,7.0,type2,1.0,3,1.6081,-0.4537,1.0,4,6,4
310,EID_16143,1,29.0,2,1,Lebanon,Human Resource Management,Analytical,7.0,2,26,1,3,8.0,type2,3.0,3,-1.8176,-0.4537,2.0,2,8,3
311,EID_10635,0,39.0,3,0,Lebanon,Human Resource Management,Behavioral,10.0,4,32,1,3,8.0,type2,1.0,3,0.7516,0.7075,2.0,3,8,3
321,EID_7692,1,45.0,3,0,Washington,Human Resource Management,Behavioral,12.0,1,68,0,1,9.0,type0,4.0,3,0.7516,-0.4537,2.0,3,5,3
322,EID_23649,1,54.0,3,1,Clinton,Human Resource Management,Behavioral,15.0,2,52,1,3,10.0,type3,1.0,3,-0.1048,0.7075,2.0,3,6,2
323,EID_21031,1,45.0,3,0,Lebanon,Human Resource Management,Behavioral,14.0,3,71,0,3,10.0,type2,1.0,3,,0.7075,2.0,3,5,3
324,EID_8456,1,62.0,2,0,Lebanon,Human Resource Management,Conceptual,37.0,3,65,1,2,7.0,type3,1.0,3,,-0.4537,2.0,3,8,3
326,EID_13601,1,36.0,1,1,Springfield,Human Resource Management,Analytical,11.0,2,24,0,3,9.0,type2,1.0,3,-0.1048,-0.4537,2.0,4,5,4
327,EID_13366,0,36.0,4,0,Springfield,Human Resource Management,Behavioral,13.0,2,69,0,1,8.0,type3,1.0,3,0.7516,0.7075,1.0,4,8,3
328,EID_13236,0,27.0,4,0,Springfield,Human Resource Management,Behavioral,3.0,2,56,1,2,7.0,type4,3.0,3,1.6081,0.7075,1.0,2,6,3
332,EID_8760,0,43.0,5,1,Washington,Human Resource Management,Conceptual,6.0,3,68,1,4,7.0,type2,4.0,3,0.7516,-0.4537,2.0,4,8,4
333,EID_20011,1,35.0,4,1,Franklin,Human Resource Management,Conceptual,11.0,4,22,1,1,8.0,type1,3.0,3,0.7516,0.7075,3.0,3,5,3
336,EID_8811,1,,4,1,Washington,Human Resource Management,Conceptual,4.0,1,41,0,4,8.0,type2,1.0,3,-0.1048,0.7075,1.0,4,8,5
339,EID_8039,1,44.0,5,0,Lebanon,Human Resource Management,Conceptual,10.0,4,72,0,3,9.0,type3,1.0,3,-0.1048,0.7075,2.0,4,7,5
344,EID_17427,0,24.0,4,1,Springfield,Human Resource Management,Behavioral,5.0,1,53,1,2,10.0,type2,1.0,3,-0.1048,-0.4537,3.0,3,5,3
346,EID_16621,0,28.0,1,1,Franklin,Human Resource Management,Directive,6.0,4,39,0,3,8.0,type2,1.0,3,-1.8176,-0.4537,2.0,3,7,3
347,EID_17592,0,25.0,4,1,Lebanon,Human Resource Management,Behavioral,6.0,2,74,2,2,8.0,type3,2.0,3,0.7516,-0.4537,2.0,3,7,1
350,EID_5163,0,56.0,3,1,Lebanon,Human Resource Management,Conceptual,32.0,3,65,2,2,8.0,type2,1.0,3,0.7516,-1.615,1.0,4,8,4
354,EID_13232,0,31.0,1,0,Springfield,IT,Analytical,7.0,3,73,2,3,8.0,type2,3.0,3,1.6081,0.7075,2.0,2,7,4
355,EID_14669,0,29.0,4,0,Washington,IT,Directive,7.0,2,29,2,4,9.0,type2,4.0,4,0.7516,-0.4537,1.0,3,5,4
356,EID_20157,0,54.0,3,0,Washington,IT,Analytical,18.0,4,30,0,3,7.0,type2,5.0,2,0.7516,-0.4537,2.0,2,7,4
358,EID_13227,0,27.0,3,0,Franklin,IT,Directive,4.0,1,27,0,2,9.0,type3,1.0,3,-0.9612,0.7075,2.0,3,7,4
361,EID_4995,0,51.0,3,1,Lebanon,IT,Directive,18.0,4,52,0,1,9.0,type2,3.0,3,-0.1048,-0.4537,2.0,2,8,3
362,EID_6978,1,47.0,4,0,Lebanon,IT,Behavioral,16.0,3,36,1,1,8.0,type2,3.0,3,-0.1048,-0.4537,,3,8,2
363,EID_3840,0,59.0,4,1,Clinton,IT,Analytical,24.0,3,72,0,3,8.0,type2,1.0,4,-0.9612,0.7075,2.0,3,9,3
373,EID_14882,0,24.0,3,0,Lebanon,IT,Conceptual,5.0,1,54,0,5,9.0,type2,4.0,3,-0.9612,-0.4537,1.0,3,7,3
374,EID_9969,0,37.0,3,1,Springfield,IT,Directive,10.0,3,65,1,3,7.0,type2,1.0,2,0.7516,-1.615,2.0,4,7,5
375,EID_20264,0,54.0,4,1,Franklin,IT,Directive,18.0,2,40,2,3,8.0,type3,2.0,3,,-0.4537,,4,8,5
376,EID_2565,0,62.0,4,1,Springfield,IT,Analytical,34.0,1,72,2,3,7.0,type2,1.0,4,-1.8176,0.7075,,3,7,3
377,EID_11463,0,37.0,3,1,Springfield,IT,Analytical,13.0,2,50,1,4,7.0,type2,2.0,3,-0.1048,-0.4537,3.0,3,8,3
379,EID_24257,1,31.0,3,1,Washington,IT,Conceptual,7.0,2,52,1,1,7.0,type2,2.0,4,,0.7075,2.0,4,6,4
381,EID_1702,1,65.0,3,0,Springfield,IT,Conceptual,28.0,2,28,0,1,7.0,type2,3.0,2,-0.9612,-0.4537,2.0,2,5,2
391,EID_21987,0,45.0,4,1,Washington,IT,Analytical,6.0,4,28,0,1,8.0,type4,1.0,3,0.7516,-0.4537,2.0,2,5,3
392,EID_1168,0,61.0,3,1,Franklin,IT,Conceptual,25.0,4,45,1,3,8.0,type3,1.0,3,-0.1048,0.7075,1.0,3,8,4
394,EID_19481,0,22.0,3,1,Washington,IT,Analytical,,2,26,0,2,8.0,type3,1.0,3,-0.1048,-0.4537,2.0,3,7,2
397,EID_20147,1,52.0,3,1,Clinton,IT,Behavioral,15.0,2,41,0,2,8.0,type4,1.0,2,0.7516,-1.615,,3,8,3
398,EID_11929,0,35.0,4,1,Washington,IT,Conceptual,7.0,3,67,0,3,8.0,type4,2.0,4,0.7516,-0.4537,,4,8,2
401,EID_8978,0,39.0,3,1,Franklin,IT,Behavioral,14.0,1,68,1,2,8.0,type3,3.0,3,-0.9612,-2.7762,2.0,4,8,4
403,EID_23603,1,28.0,3,1,Clinton,IT,Analytical,5.0,2,23,2,2,8.0,type2,1.0,3,0.7516,0.7075,1.0,2,8,1
406,EID_21663,1,22.0,3,0,Lebanon,IT,Directive,3.0,3,56,1,3,7.0,type2,2.0,5,-0.1048,-0.4537,3.0,3,8,3
408,EID_22188,0,25.0,4,1,Franklin,IT,Directive,6.0,4,35,0,5,7.0,type2,2.0,3,,-0.4537,2.0,4,8,4
410,EID_13265,1,31.0,5,0,Clinton,IT,Directive,6.0,2,37,1,2,7.0,type2,1.0,3,1.6081,0.7075,2.0,3,8,3
411,EID_3761,0,59.0,3,1,Lebanon,IT,Directive,25.0,3,23,0,3,8.0,type3,1.0,2,0.7516,0.7075,,3,6,5
414,EID_25730,0,37.0,3,0,Springfield,IT,Analytical,11.0,3,24,1,4,10.0,type2,3.0,3,0.7516,0.7075,,1,8,4
415,EID_17105,1,22.0,3,1,Franklin,IT,Directive,3.0,3,73,1,3,9.0,type2,2.0,4,-0.1048,0.7075,2.0,2,7,3
421,EID_18954,1,20.0,4,1,Springfield,IT,Behavioral,1.0,1,66,0,5,8.0,type3,3.0,3,-0.1048,0.7075,1.0,3,8,3
423,EID_14916,1,28.0,4,1,Washington,IT,Analytical,4.0,4,39,1,3,7.0,type2,1.0,3,0.7516,0.7075,2.0,2,7,3
424,EID_16714,1,27.0,3,1,Springfield,IT,Directive,5.0,2,59,2,1,8.0,type2,1.0,3,1.6081,-0.4537,2.0,2,8,3
425,EID_10203,0,40.0,4,0,Lebanon,IT,Behavioral,11.0,3,71,1,3,8.0,type2,1.0,3,0.7516,-1.615,3.0,2,5,3
429,EID_1503,0,60.0,4,0,Franklin,IT,Directive,22.0,1,20,2,3,8.0,type2,5.0,5,-1.8176,-0.4537,2.0,3,8,4
