,Employee_ID,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7
181,EID_14817,0,32.0,5,1,Springfield,Operarions,Directive,4.0,3,22,1,3,7.0,type4,3.0,4,-1.8176,-0.4537,,2,6,5
183,EID_21987,0,45.0,4,1,Washington,IT,Analytical,6.0,4,28,0,1,8.0,type4,1.0,3,0.7516,-0.4537,2.0,2,5,3
184,EID_1168,0,61.0,3,1,Franklin,IT,Conceptual,25.0,4,45,1,3,8.0,type3,1.0,3,-0.1048,0.7075,1.0,3,8,4
188,EID_22274,0,60.0,4,1,Springfield,Sales,Behavioral,21.0,4,59,1,1,7.0,type3,2.0,3,0.7516,-0.4537,3.0,4,9,5
189,EID_11091,1,43.0,3,1,Springfield,Sales,Behavioral,17.0,1,66,1,2,8.0,type3,1.0,2,1.6081,0.7075,1.0,3,7,3
190,EID_18421,0,21.0,3,1,Lebanon,R&D,Analytical,2.0,2,21,1,3,10.0,type2,2.0,3,-0.9612,-0.4537,2.0,5,7,4
192,EID_13308,1,27.0,4,0,Washington,Operarions,Directive,4.0,4,58,1,3,9.0,type0,3.0,3,-0.9612,-0.4537,2.0,2,8,3
193,EID_19481,0,22.0,3,1,Washington,IT,Analytical,,2,26,0,2,8.0,type3,1.0,3,-0.1048,-0.4537,2.0,3,7,2
195,EID_4504,1,48.0,3,1,Lebanon,Sales,Behavioral,16.0,2,68,0,3,10.0,type2,3.0,3,-0.1048,0.7075,,3,7,3
196,EID_2539,0,57.0,3,1,Lebanon,Operarions,Analytical,,4,23,0,1,8.0,type2,5.0,3,-1.8176,0.7075,2.0,4,8,3
197,EID_19529,0,60.0,1,1,Lebanon,Logistics,Analytical,21.0,4,38,1,3,8.0,type2,1.0,3,0.7516,0.7075,3.0,2,7,3
199,EID_14508,0,33.0,1,1,Springfield,Production,Conceptual,7.0,1,35,1,2,8.0,type2,1.0,3,0.7516,1.8688,2.0,2,7,3
202,EID_20147,1,52.0,3,1,Clinton,IT,Behavioral,15.0,2,41,0,2,8.0,type4,1.0,2,0.7516,-1.615,,3,8,3
203,EID_6154,1,54.0,3,1,Springfield,Operarions,Conceptual,16.0,2,70,1,5,8.0,type2,3.0,2,0.7516,-0.4537,1.0,2,8,3
206,EID_11929,0,35.0,4,1,Washington,IT,Conceptual,7.0,3,67,0,3,8.0,type4,2.0,4,0.7516,-0.4537,,4,8,2
211,EID_1017,0,53.0,1,0,Washington,Accounting and Finance,Conceptual,20.0,2,29,1,1,9.0,type2,1.0,4,-0.1048,-2.7762,3.0,3,7,5
213,EID_22849,0,28.0,5,1,Washington,Operarions,Analytical,4.0,3,61,1,3,7.0,type3,1.0,2,-0.9612,-0.4537,2.0,2,7,3
218,EID_16569,1,23.0,4,0,Springfield,Operarions,Analytical,4.0,1,69,1,4,8.0,type3,3.0,3,0.7516,-0.4537,2.0,3,6,3
220,EID_7824,0,50.0,5,0,Lebanon,Sales,Directive,22.0,2,54,0,4,9.0,type3,1.0,3,0.7516,-0.4537,2.0,2,5,3
221,EID_8978,0,39.0,3,1,Franklin,IT,Behavioral,14.0,1,68,1,2,8.0,type3,3.0,3,-0.9612,-2.7762,2.0,4,8,4
223,EID_17810,0,21.0,3,1,Franklin,R&D,Directive,2.0,2,36,0,2,9.0,type3,4.0,2,1.6081,-0.4537,2.0,4,5,3
224,EID_14856,1,24.0,3,1,Lebanon,Sales,Behavioral,5.0,2,45,2,2,9.0,type3,1.0,3,0.7516,0.7075,2.0,5,8,3
226,EID_23603,1,28.0,3,1,Clinton,IT,Analytical,5.0,2,23,2,2,8.0,type2,1.0,3,0.7516,0.7075,1.0,2,8,1
229,EID_1501,1,58.0,5,1,Springfield,Sales,Behavioral,36.0,4,53,0,3,7.0,type2,1.0,4,-0.9612,-0.4537,2.0,4,5,3
231,EID_16147,1,26.0,3,1,Clinton,Logistics,Analytical,4.0,4,44,1,4,9.0,type2,1.0,2,-1.8176,1.8688,2.0,3,7,4
234,EID_12999,0,28.0,5,0,Lebanon,Sales,Directive,4.0,1,55,0,3,8.0,type2,3.0,4,,-0.4537,3.0,3,6,5
235,EID_21663,1,22.0,3,0,Lebanon,IT,Directive,3.0,3,56,1,3,7.0,type2,2.0,5,-0.1048,-0.4537,3.0,3,8,3
240,EID_24390,1,26.0,2,1,Washington,Human Resource Management,Analytical,2.0,1,22,1,5,8.0,type2,1.0,3,-1.8176,0.7075,2.0,3,8,4
242,EID_3261,1,,2,1,Lebanon,Purchasing,Analytical,19.0,3,53,1,3,9.0,type3,3.0,3,0.7516,-1.615,2.0,2,8,5
243,EID_7752,1,50.0,4,1,Franklin,Logistics,Directive,25.0,3,38,0,3,7.0,type2,2.0,2,0.7516,-0.4537,2.0,3,5,5
244,EID_3033,0,56.0,3,1,Springfield,Logistics,Directive,30.0,1,58,0,3,7.0,type1,5.0,4,0.7516,0.7075,3.0,3,8,3
246,EID_23727,1,42.0,4,1,Clinton,Logistics,Conceptual,13.0,1,39,0,3,8.0,type2,1.0,3,,-0.4537,3.0,2,8,3
249,EID_13645,0,31.0,4,0,Springfield,Operarions,Behavioral,5.0,3,72,1,3,7.0,type3,1.0,1,0.7516,-1.615,1.0,4,5,3
250,EID_16021,1,26.0,4,0,Clinton,Logistics,Analytical,3.0,1,71,0,1,7.0,type2,1.0,3,0.7516,1.8688,3.0,2,7,3
251,EID_19800,0,52.0,4,0,Lebanon,R&D,Analytical,27.0,3,29,1,3,8.0,type2,4.0,5,-0.9612,1.8688,2.0,3,5,3
252,EID_1944,1,55.0,3,0,Lebanon,Sales,Conceptual,23.0,2,59,0,3,10.0,type2,4.0,2,0.7516,0.7075,1.0,5,5,3
253,EID_15868,1,27.0,1,1,Franklin,Operarions,Behavioral,5.0,1,73,1,2,7.0,type3,1.0,3,-0.9612,0.7075,3.0,3,8,3
254,EID_22188,0,25.0,4,1,Franklin,IT,Directive,6.0,4,35,0,5,7.0,type2,2.0,3,,-0.4537,2.0,4,8,4
257,EID_24861,0,60.0,3,0,Lebanon,Accounting and Finance,Analytical,21.0,2,45,0,2,7.0,type2,3.0,3,0.7516,0.7075,3.0,2,7,3
260,EID_13265,1,31.0,5,0,Clinton,IT,Directive,6.0,2,37,1,2,7.0,type2,1.0,3,1.6081,0.7075,2.0,3,8,3
262,EID_3761,0,59.0,3,1,Lebanon,IT,Directive,25.0,3,23,0,3,8.0,type3,1.0,2,0.7516,0.7075,,3,6,5
266,EID_12115,1,40.0,4,1,Clinton,Human Resource Management,Analytical,14.0,4,23,1,5,9.0,type2,1.0,4,-0.9612,0.7075,2.0,3,8,4
268,EID_16586,0,25.0,4,1,Washington,Operarions,Directive,6.0,3,22,1,2,8.0,type2,5.0,4,0.7516,-0.4537,2.0,3,6,3
275,EID_22759,0,37.0,1,1,Franklin,Purchasing,Conceptual,11.0,1,30,2,5,8.0,type2,1.0,3,-0.1048,0.7075,2.0,3,7,3
276,EID_17833,0,22.0,2,1,Lebanon,Operarions,Behavioral,3.0,2,43,0,3,7.0,type3,3.0,3,,0.7075,,3,7,2
278,EID_25730,0,37.0,3,0,Springfield,IT,Analytical,11.0,3,24,1,4,10.0,type2,3.0,3,0.7516,0.7075,,1,8,4
281,EID_14096,1,34.0,3,0,Washington,Operarions,Conceptual,5.0,4,42,1,2,8.0,type2,1.0,3,-0.9612,0.7075,2.0,5,7,3
283,EID_17105,1,22.0,3,1,Franklin,IT,Directive,3.0,3,73,1,3,9.0,type2,2.0,4,-0.1048,0.7075,2.0,2,7,3
284,EID_9929,1,41.0,4,0,Springfield,R&D,Behavioral,3.0,3,45,1,1,8.0,type2,4.0,2,-0.1048,-0.4537,1.0,2,7,4
286,EID_12954,1,28.0,4,0,Springfield,Accounting and Finance,Directive,4.0,4,51,1,2,8.0,type3,2.0,3,-1.8176,0.7075,3.0,2,7,4
288,EID_11464,1,33.0,1,0,Franklin,Accounting and Finance,Directive,11.0,3,39,0,3,9.0,type2,3.0,4,-0.1048,-0.4537,2.0,3,8,3
291,EID_6981,1,47.0,4,1,Clinton,Accounting and Finance,Analytical,22.0,4,25,0,3,7.0,type3,4.0,5,-0.9612,-0.4537,2.0,2,8,4
292,EID_19951,1,54.0,3,1,Franklin,Logistics,Directive,17.0,3,33,1,5,10.0,type2,2.0,2,0.7516,1.8688,2.0,3,7,3
295,EID_15614,1,26.0,3,0,Franklin,R&D,Analytical,3.0,3,36,0,2,7.0,type4,2.0,3,0.7516,-0.4537,1.0,4,9,3
296,EID_2961,0,56.0,3,1,Franklin,Logistics,Analytical,24.0,4,40,1,3,7.0,type2,4.0,3,-0.9612,0.7075,2.0,4,6,3
298,EID_2843,0,56.0,3,0,Springfield,Security,Directive,34.0,4,66,1,1,8.0,type3,3.0,3,1.6081,-0.4537,,5,8,3
299,EID_9549,0,58.0,4,0,Franklin,Operarions,Directive,20.0,3,33,2,2,8.0,type2,4.0,5,0.7516,-0.4537,3.0,4,8,3
302,EID_22832,0,,4,1,Springfield,Quality,Conceptual,30.0,1,30,2,3,7.0,type3,1.0,1,-0.9612,0.7075,,4,8,4
304,EID_1141,0,58.0,5,1,Lebanon,Operarions,Directive,34.0,1,26,1,4,8.0,type4,4.0,3,-0.9612,-0.4537,,2,8,4
305,EID_18954,1,20.0,4,1,Springfield,IT,Behavioral,1.0,1,66,0,5,8.0,type3,3.0,3,-0.1048,0.7075,1.0,3,8,3
308,EID_14916,1,28.0,4,1,Washington,IT,Analytical,4.0,4,39,1,3,7.0,type2,1.0,3,0.7516,0.7075,2.0,2,7,3
311,EID_16556,1,25.0,4,0,Lebanon,Logistics,Analytical,6.0,1,51,0,3,8.0,type3,3.0,3,1.6081,-2.7762,2.0,2,8,3
318,EID_1171,1,61.0,3,1,Washington,Logistics,Directive,31.0,4,67,1,1,7.0,type2,2.0,3,0.7516,-0.4537,2.0,3,5,5
320,EID_20674,0,54.0,2,1,Lebanon,Logistics,Behavioral,20.0,2,68,1,3,8.0,type3,2.0,3,0.7516,-0.4537,2.0,4,6,3
322,EID_16714,1,27.0,3,1,Springfield,IT,Directive,5.0,2,59,2,1,8.0,type2,1.0,3,1.6081,-0.4537,2.0,2,8,3
323,EID_7857,0,50.0,3,1,Springfield,Production,Analytical,15.0,2,48,1,2,7.0,type2,1.0,3,0.7516,-0.4537,2.0,2,8,3
326,EID_10203,0,40.0,4,0,Lebanon,IT,Behavioral,11.0,3,71,1,3,8.0,type2,1.0,3,0.7516,-1.615,3.0,2,5,3
332,EID_2538,1,62.0,2,0,Springfield,Logistics,Analytical,26.0,1,71,1,3,8.0,type3,1.0,5,-0.1048,0.7075,3.0,3,5,4
333,EID_13110,0,,1,1,Franklin,Logistics,Behavioral,4.0,1,23,1,1,8.0,type2,3.0,2,-0.1048,-0.4537,2.0,3,8,3
341,EID_1503,0,60.0,4,0,Franklin,IT,Directive,22.0,1,20,2,3,8.0,type2,5.0,5,-1.8176,-0.4537,2.0,3,8,4
345,EID_1887,0,55.0,1,1,Franklin,Operarions,Conceptual,26.0,3,28,1,1,8.0,type2,1.0,3,-0.1048,-2.7762,2.0,3,8,3
346,EID_16849,0,22.0,3,0,Washington,Logistics,Analytical,3.0,3,60,1,3,7.0,type3,3.0,4,-0.9612,-1.615,2.0,4,6,3
347,EID_10071,0,40.0,5,1,Lebanon,IT,Analytical,17.0,4,58,0,3,8.0,type3,3.0,3,-0.9612,0.7075,2.0,3,9,3
350,EID_25542,1,26.0,2,0,Franklin,Logistics,Directive,2.0,2,26,0,4,7.0,type3,1.0,3,0.7516,1.8688,2.0,2,8,5
351,EID_11582,0,32.0,3,1,Springfield,Logistics,Directive,9.0,4,50,0,2,8.0,type2,1.0,4,-1.8176,-0.4537,1.0,3,7,2
352,EID_19550,1,47.0,5,0,Franklin,R&D,Analytical,21.0,1,73,1,4,8.0,type4,1.0,3,-0.1048,0.7075,3.0,3,9,2
353,EID_5351,1,50.0,3,0,Springfield,Marketing,Directive,16.0,2,70,2,3,9.0,type3,4.0,3,-0.1048,1.8688,1.0,3,7,5
358,EID_6314,1,,1,1,Washington,Sales,Conceptual,17.0,3,23,0,2,10.0,type2,2.0,3,0.7516,-0.4537,2.0,3,9,4
361,EID_16415,1,25.0,3,1,Franklin,IT,Directive,6.0,1,21,0,2,9.0,type2,1.0,5,0.7516,0.7075,,2,6,3
363,EID_20498,1,54.0,2,0,Franklin,R&D,Conceptual,27.0,4,31,0,3,8.0,type3,1.0,3,-0.1048,1.8688,2.0,4,5,3
365,EID_24121,1,42.0,3,1,Springfield,Logistics,Analytical,9.0,1,30,2,2,7.0,type2,4.0,5,0.7516,-0.4537,2.0,3,8,3
366,EID_7536,1,42.0,3,0,Springfield,Sales,Analytical,10.0,2,21,1,2,8.0,type2,3.0,3,-0.9612,0.7075,2.0,4,8,5
369,EID_20903,0,,4,0,Springfield,Sales,Behavioral,3.0,1,27,1,4,7.0,type2,2.0,3,0.7516,1.8688,,3,9,3
372,EID_9550,0,60.0,1,0,Washington,Marketing,Behavioral,26.0,4,46,1,2,9.0,type2,1.0,3,-0.1048,-0.4537,2.0,3,8,3
373,EID_4261,1,58.0,3,1,Washington,IT,Directive,32.0,3,44,2,2,8.0,type4,4.0,3,-1.8176,-2.7762,1.0,2,8,3
374,EID_19753,1,28.0,4,1,Springfield,Logistics,Conceptual,5.0,3,23,1,3,9.0,type2,,4,-0.9612,-0.4537,2.0,1,8,2
376,EID_24283,1,52.0,5,0,Lebanon,Sales,Behavioral,13.0,3,61,1,4,10.0,type2,1.0,3,1.6081,-0.4537,2.0,3,8,3
381,EID_15815,0,24.0,4,1,Springfield,Logistics,Directive,5.0,1,40,1,1,8.0,type2,2.0,3,-0.9612,1.8688,1.0,3,7,4
383,EID_21356,0,52.0,3,1,Clinton,Operarions,Directive,20.0,1,47,2,2,8.0,type4,2.0,3,-0.1048,1.8688,2.0,4,7,3
384,EID_12357,0,34.0,3,1,Lebanon,Accounting and Finance,Conceptual,8.0,2,33,2,4,7.0,type2,3.0,3,0.7516,-0.4537,2.0,2,7,3
385,EID_18495,0,20.0,3,1,Franklin,Sales,Behavioral,1.0,1,49,1,2,9.0,type2,1.0,3,0.7516,-0.4537,1.0,1,8,3
386,EID_5098,1,51.0,4,0,Washington,Sales,Behavioral,26.0,4,42,0,3,7.0,type2,1.0,2,0.7516,0.7075,2.0,5,7,2
388,EID_13240,0,36.0,4,1,Franklin,Sales,Analytical,8.0,1,72,0,1,8.0,type2,3.0,3,-0.9612,0.7075,,1,7,3
390,EID_23914,0,25.0,4,0,Springfield,Sales,Analytical,6.0,4,54,1,3,7.0,type3,1.0,3,0.7516,0.7075,2.0,3,8,5
395,EID_22705,0,32.0,4,1,Springfield,IT,Behavioral,3.0,1,59,1,3,8.0,type0,4.0,4,0.7516,-0.4537,2.0,4,5,4
396,EID_19350,1,20.0,2,1,Springfield,Accounting and Finance,Behavioral,1.0,1,66,2,2,9.0,type2,1.0,3,-0.1048,-0.4537,2.0,2,8,5
400,EID_17678,1,21.0,1,0,Franklin,R&D,Directive,2.0,1,24,1,2,8.0,type3,1.0,4,0.7516,1.8688,3.0,3,7,3
403,EID_1311,0,65.0,4,1,Franklin,IT,Conceptual,26.0,1,57,0,2,7.0,type3,1.0,4,-0.1048,1.8688,2.0,4,8,2
404,EID_5860,0,54.0,1,1,Washington,Accounting and Finance,Analytical,22.0,4,72,1,5,7.0,type3,4.0,4,-0.9612,-0.4537,1.0,3,7,3
406,EID_10209,1,40.0,3,1,Springfield,Sales,Conceptual,18.0,3,69,0,3,8.0,type3,2.0,3,-1.8176,1.8688,3.0,4,8,3
